idx, heading, dist, lfm POS, lfm VEL, lfm TRQ, lbm POS, lbm VEL, lbm TRQ, rfm POS, rfm VEL, rfm TRQ, rbm POS, rbm VEL, rbm TRQ
226, 8.675654, 1034.0, 6.01, -77.8, 62.86809, 4.906667, -82.33334, 46.20632, 6.776667, -85.16666, 54.54067, 5.416667, -81.93334, 59.44615
227, 8.742043, 1015.0, 5.926667, -83.5, 60.88212, 4.826667, -79.13333, 44.87173, 6.69, -83.03333, 51.12674, 5.333333, -79.6, 57.89249
228, 8.791654, 1015.0, 5.843333, -83.63334, 58.26757, 4.743333, -82.73334, 45.80054, 6.61, -80.0, 47.94836, 5.253334, -80.06667, 57.61243
229, 8.854518, 999.0, 5.676667, -85.1, 53.2098, 4.576667, -87.26667, 47.06668, 6.45, -76.36667, 47.22061, 5.086667, -82.36667, 53.59125
230, 8.898085, 980.4999, 5.593333, -84.33333, 51.14638, 4.49, -88.2, 45.90606, 6.373333, -78.86667, 49.18323, 5.003334, -83.53333, 49.73768
231, 8.931892, 980.4999, 5.51, -84.6, 49.97623, 4.403333, -86.96667, 44.73272, 6.293334, -82.76668, 50.88169, 4.916667, -82.96667, 46.05865
232, 8.939922, 963.5, 5.423333, -88.1, 49.43729, 4.316667, -86.03333, 43.03689, 6.21, -83.33334, 50.63716, 4.836667, -81.43333, 40.49654
233, 8.953572, 946.5, 5.336667, -88.16667, 48.61827, 4.23, -85.93333, 41.4604, 6.123333, -86.50001, 47.9081, 4.756667, -80.33334, 34.81934
234, 8.9156, 946.5, 5.246666, -90.7, 47.46083, 4.143333, -85.4, 41.37288, 6.036667, -88.06666, 43.35489, 4.676667, -80.53333, 30.5531
235, 8.823019, 928.5, 5.16, -91.3, 46.46411, 4.06, -85.83334, 42.41732, 5.95, -83.5, 37.36583, 4.596667, -77.83334, 27.47871
236, 8.66832, 928.5, 5.066667, -89.56667, 44.68819, 3.896667, -83.66667, 46.98812, 5.783333, -80.30001, 23.74545, 4.44, -76.63333, 22.91386
237, 8.259425, 908.0, 4.88, -94.53334, 40.67114, 3.813333, -84.13333, 48.93482, 5.706666, -78.9, 19.80545, 4.4, -76.53333, 22.54309
238, 7.979877, 888.9999, 4.786667, -96.13334, 38.55627, 3.726667, -87.80001, 49.55065, 5.626667, -78.83334, 16.52526, 4.323333, -78.6, 21.41484
239, 7.681684, 872.0, 4.686666, -98.46667, 36.22868, 3.64, -88.06666, 48.76664, 5.55, -76.2, 14.41094, 4.246666, -75.53333, 21.15442
240, 7.38428, 872.0, 4.59, -102.9333, 33.78493, 3.55, -88.33334, 46.8003, 5.476666, -73.2, 14.22105, 4.17, -78.46667, 21.17087
241, 7.06098, 851.4999, 4.49, -101.1667, 31.18047, 3.463333, -84.2, 45.13738, 5.403333, -72.6, 15.75189, 4.093333, -78.46667, 20.80273
242, 6.673737, 851.4999, 4.393333, -99.2, 29.09478, 3.383333, -81.3, 44.82497, 5.333333, -70.06667, 18.47458, 4.016667, -77.5, 20.91944
243, 6.258358, 834.9999, 4.293334, -98.13334, 27.08336, 3.303333, -76.13333, 44.85693, 5.19, -75.66667, 25.14157, 3.863333, -78.23333, 21.41484
244, 5.333537, 817.0, 4.09, -103.8667, 23.98612, 3.15, -73.56667, 52.08831, 5.11, -76.93334, 27.47648, 3.79, -76.33334, 21.47639
245, 4.835828, 799.0, 3.986667, -103.2333, 22.69026, 3.07, -78.26667, 56.15627, 5.036667, -76.46667, 29.54196, 3.713333, -75.9, 22.24227
246, 4.32072, 799.0, 3.88, -105.3, 21.08779, 2.996667, -75.06667, 59.06734, 4.956666, -78.53333, 30.95608, 3.636667, -77.73333, 23.68502
247, 3.8183, 777.5, 3.773333, -105.5333, 19.53731, 2.916667, -79.46667, 61.39755, 4.883333, -73.80001, 32.18348, 3.56, -73.66666, 25.43491
248, 3.316039, 777.5, 3.67, -106.3667, 17.70359, 2.84, -78.36667, 62.32582, 4.806667, -74.5, 35.29231, 3.483333, -79.23333, 27.96288
249, 2.816478, 763.5, 3.563333, -107.7, 16.36901, 2.76, -81.50001, 60.94986, 4.733333, -74.53333, 40.26665, 3.406667, -77.63333, 30.98209
250, 2.335984, 763.5, 3.46, -104.7, 15.63118, 2.68, -77.9, 59.37022, 4.656667, -75.03334, 45.7895, 3.326667, -78.66666, 34.71519
251, 1.465137, 727.0, 3.253333, -102.2, 15.46412, 2.53, -73.63333, 57.96675, 4.51, -76.73333, 56.59774, 3.163333, -82.5, 42.74691
252, 1.066079, 727.0, 3.153333, -99.33333, 15.84444, 2.423333, -73.3, 61.42839, 4.433333, -72.6, 59.90503, 3.08, -83.46667, 45.67594
253, 0.7027435, 727.0, 3.053333, -100.1, 16.77643, 2.35, -73.13333, 63.68116, 4.36, -74.23333, 61.38497, 2.996667, -88.06666, 47.9966
254, 0.3805725, 727.0, 2.953333, -100.0667, 17.14668, 2.276667, -73.43334, 65.71804, 4.283333, -78.1, 60.9431, 2.91, -85.56666, 49.69824
255, 0.09032619, 682.0, 2.85, -99.3, 17.98477, 2.203333, -72.46667, 67.43295, 4.21, -72.76667, 60.36281, 2.826667, -83.23333, 50.03029
256, -0.156842, 682.0, 2.75, -101.0667, 18.06858, 2.13, -73.7, 66.54658, 4.136667, -74.23333, 60.75322, 2.74, -86.13334, 49.90458
257, -0.3912041, 682.0, 2.65, -99.7, 18.53962, 2.053333, -74.13333, 65.57959, 4.06, -75.3, 61.33617, 2.653333, -89.83334, 49.11738
258, -0.7923689, 643.0, 2.453333, -96.46667, 19.97075, 1.91, -73.93333, 65.42152, 3.91, -74.4, 60.43706, 2.476667, -87.6, 47.56372
259, -0.9743999, 643.0, 2.353333, -97.80001, 20.82267, 1.833333, -74.2, 65.45706, 3.83, -80.63334, 60.34954, 2.39, -87.23333, 46.3453
260, -1.1552, 643.0, 2.256667, -98.63334, 20.74054, 1.76, -76.73333, 65.14409, 3.753333, -75.3, 59.06638, 2.296667, -89.16667, 44.98789
261, -1.306995, 602.5, 2.16, -96.63333, 19.74452, 1.683333, -76.03333, 65.21462, 3.676667, -80.16666, 56.86451, 2.21, -89.36667, 44.22034
262, -1.430655, 602.5, 2.066667, -94.03334, 17.20121, 1.606667, -78.1, 64.48632, 3.593333, -82.63333, 55.45883, 2.116667, -91.03333, 43.96254
263, -1.54636, 602.5, 1.973333, -91.86667, 13.93599, 1.526667, -78.5, 63.76066, 3.51, -82.1, 53.33759, 2.026667, -93.83334, 42.7982
264, -1.644281, 560.5, 1.88, -93.06666, 9.59133, 1.45, -78.16667, 61.63252, 3.43, -82.56667, 50.6095, 1.933333, -92.3, 41.47633
265, -1.780517, 560.5, 1.703333, -84.83334, 1.539022, 1.31, -66.96667, 66.23998, 3.263333, -77.56667, 47.88997, 1.75, -87.46667, 38.3718
266, -1.803924, 560.5, 1.62, -81.83333, 0.0, 1.24, -71.86667, 69.87296, 3.183333, -78.16667, 48.28993, 1.66, -89.23333, 35.79723
267, -1.830796, 517.5, 1.54, -80.13333, 0.0, 1.163333, -76.9, 70.63305, 3.106667, -77.5, 50.04993, 1.573333, -87.26667, 31.82019
268, -1.864088, 517.5, 1.463333, -72.93334, 0.0, 1.086667, -76.86667, 71.16248, 3.03, -78.13333, 51.83913, 1.486667, -85.0, 26.75415
269, -1.900675, 517.5, 1.353333, -76.5, 0.0, 0.9766666, -71.13333, 66.54205, 2.91, -80.03333, 51.59477, 1.363333, -81.6, 16.46293
270, -1.923948, 479.5, 1.286667, -67.16667, 0.0, 0.9066667, -66.9, 59.45507, 2.833333, -74.43334, 48.35983, 1.283333, -77.63333, 9.709082
271, -1.890025, 479.5, 1.216667, -68.2, 0.0, 0.8433333, -60.3, 51.78085, 2.763333, -70.9, 43.16174, 1.21, -74.06667, 4.123205
272, -1.795205, 479.5, 1.15, -64.7, 0.0, 0.7833333, -59.96667, 46.04378, 2.69, -70.13333, 36.29699, 1.133333, -74.36667, 0.3487594
273, -1.667126, 434.5, 1.09, -57.6, 0.0, 0.7233334, -60.16667, 40.78996, 2.623333, -67.53334, 29.43486, 1.066667, -66.16666, 0.0
274, -1.510057, 434.5, 1.04, -47.5, 0.0, 0.6633334, -58.26667, 36.62563, 2.556667, -67.43333, 22.67039, 1.0, -63.3, 0.0
275, -1.328225, 434.5, 0.9966667, -40.46667, 0.0, 0.6033334, -59.96667, 32.2056, 2.42, -63.63334, 11.27372, 0.8833333, -59.13333, 0.0
276, -0.995717, 394.5, 0.9333333, -30.2, 0.0, 0.4866667, -57.93334, 20.33376, 2.356667, -61.5, 6.268701, 0.8233334, -57.23333, 0.0
277, -0.8881579, 394.5, 0.9, -33.6, 0.0, 0.43, -55.4, 13.54063, 2.296667, -58.0, 2.211007, 0.77, -52.26667, 0.0
278, -0.7728541, 394.5, 0.86, -39.26667, 0.0, 0.3766667, -53.36667, 7.545791, 2.243333, -52.93334, 0.0, 0.7233334, -45.26667, 0.0
279, -0.6370934, 356.0, 0.82, -43.13334, 0.0, 0.3266666, -48.7, 2.821364, 2.19, -49.8, 0.0, 0.6833333, -40.33333, 0.0
280, -0.4763072, 356.0, 0.78, -40.33333, 0.0, 0.28, -43.83333, 0.0, 2.143333, -43.03333, 0.0, 0.6466666, -36.63334, 0.0
281, -0.3419657, 356.0, 0.7433333, -33.53333, 0.0, 0.24, -37.16667, 0.0, 2.103333, -38.76667, 0.0, 0.61, -33.53333, 0.0
282, -0.2583015, 356.0, 0.7166667, -26.26667, 0.0, 0.2033333, -34.93334, 0.0, 2.07, -32.56667, 0.0, 0.5766666, -32.53333, 0.0
283, -0.08149136, 324.5, 0.6766667, -18.4, 0.0, 0.1266667, -38.0, 0.0, 2.016667, -26.33333, 0.0, 0.5166667, -28.8, 0.0
284, -0.005606034, 324.5, 0.66, -18.23333, 0.0, 0.09333333, -32.1, 5.346238, 1.99, -24.03333, 0.0, 0.49, -30.66667, 0.0
285, 0.03183627, 294.5, 0.6433333, -16.6, 0.0, 0.06333333, -28.0, 14.16683, 1.97, -22.26667, 0.0, 0.45, -37.33333, 1.260244
286, 0.1151976, 294.5, 0.6266666, -15.3, 0.0, 0.03, -36.86666, 13.22202, 1.95, -19.26667, 0.0, 0.4166667, -34.23333, 0.9136355
287, 0.2367088, 294.5, 0.6133333, -15.66667, 0.0, -0.01, -40.9, 12.71829, 1.926667, -23.06667, 0.0, 0.38, -36.46667, 0.6912331
288, 0.3122519, 294.5, 0.5933333, -16.13333, 0.0, -0.05, -38.53333, 12.5909, 1.903333, -25.36667, 0.0, 0.3433333, -35.66667, 0.6455848
289, 0.3653246, 272.0, 0.5766666, -19.16667, 0.0, -0.09, -39.63334, 12.60045, 1.873333, -29.33333, 0.0, 0.31, -35.3, 0.6652241
290, 0.5170715, 272.0, 0.53, -23.16667, 0.0, -0.17, -38.0, 9.887848, 1.81, -33.43333, 0.0, 0.2433333, -32.36666, 0.7862451
291, 0.5817542, 256.0, 0.5066667, -23.2, 0.0, -0.2033333, -35.56667, 4.870479, 1.776667, -32.76667, 0.0, 0.21, -31.06667, 0.8547174
292, 0.6459515, 256.0, 0.4866667, -22.76667, 0.0, -0.2366667, -33.33333, 0.0, 1.743333, -30.33334, 0.0, 0.18, -29.16667, 0.0
293, 0.7202085, 256.0, 0.4633333, -21.96667, 1.080053, -0.26, -21.2, 5.86555, 1.716667, -29.46667, 0.861953, 0.16, -22.26667, 3.909155
294, 0.7934854, 256.0, 0.4533333, -15.2, 8.082758, -0.2633333, -18.06667, 12.53168, 1.703333, -19.46667, 6.755495, 0.1533333, -15.6, 9.771911
295, 0.8595055, 241.0, 0.4466667, -7.766667, 13.60117, -0.2533333, -0.0, 16.3454, 1.696667, -10.96667, 11.44796, 0.1566667, -4.366667, 14.30908
296, 0.8666481, 241.0, 0.4466667, -7.766667, 18.98819, -0.2566667, 3.1, 20.40491, 1.696667, -10.96667, 16.00698, 0.1566667, -4.366667, 20.16829
297, 0.9986927, 234.5, 0.45, -1.633333, 29.0633, -0.2766667, -10.3, 34.33416, 1.71, 4.0, 22.10599, 0.1466667, -1.6, 33.08336
298, 1.111272, 227.5, 0.46, 1.5, 26.19469, -0.28, -8.266666, 35.56681, 1.723333, 11.03333, 18.10071, 0.1433333, -3.4, 34.50011
299, 1.192932, 227.5, 0.4666667, 7.933333, 21.76081, -0.2833333, -6.466667, 39.47873, 1.733333, 11.86667, 12.7524, 0.1366667, -4.366667, 37.86202
300, 1.316627, 227.5, 0.4766666, 9.666667, 16.08252, -0.2833333, -6.466667, 45.23767, 1.743333, 11.03333, 7.736149, 0.1366667, -4.366667, 40.1423
301, 1.466112, 221.5, 0.4866667, 9.266666, 10.84666, -0.2833333, -6.466667, 47.39128, 1.75, 8.866667, 3.690078, 0.1366667, -4.366667, 41.87311
302, 1.555549, 221.5, 0.4933333, 7.866667, 5.939665, -0.2833333, -6.466667, 46.59826, 1.75, 8.866667, 1.261278, 0.1366667, -4.366667, 42.24389
303, 1.603543, 221.5, 0.4933333, 6.933333, 2.39008, -0.2833333, -6.0, 45.80207, 1.75, 8.866667, 0.0, 0.1366667, -4.366667, 42.23699
304, 1.747674, 222.0, 0.4933333, 6.933333, 0.0, -0.2766667, 1.533333, 42.40944, 1.75, 8.866667, 0.0, 0.14, -1.633333, 42.07088
305, 1.767354, 222.0, 0.4933333, 7.0, 0.0, -0.27, 4.5, 39.54457, 1.75, 8.866667, 0.0, 0.1433333, 2.1, 41.22753
306, 1.766903, 222.0, 0.4933333, 7.0, 0.0, -0.2633333, 5.0, 35.94934, 1.75, 9.166667, 0.0, 0.15, 5.633333, 39.27764
307, 1.77315, 226.5, 0.4933333, 7.0, 0.0, -0.26, 5.5, 31.30277, 1.753333, 5.133333, 0.0, 0.1566667, 5.6, 37.01216
308, 1.764775, 226.5, 0.4933333, 5.766667, 0.0, -0.2533333, 5.033333, 25.9481, 1.756667, 4.066667, 0.0, 0.1633333, 5.9, 34.37909
309, 1.750259, 226.5, 0.4933333, 5.766667, 0.0, -0.25, 4.633333, 21.97726, 1.756667, 4.066667, 0.0, 0.17, 5.7, 31.55722
310, 1.733216, 226.5, 0.4933333, 5.766667, 0.0, -0.25, 4.633333, 18.43667, 1.76, 2.633333, 0.0, 0.1733333, 5.366667, 28.65045
311, 1.664489, 229.0, 0.49, -0.7333333, 0.0, -0.25, 4.633333, 12.31682, 1.763333, 2.866667, 0.0, 0.1733333, 5.366667, 21.34224
312, 1.618573, 229.0, 0.4933333, -0.0, 0.0, -0.25, 4.633333, 9.593006, 1.763333, 2.866667, 0.0, 0.1733333, 5.366667, 17.21593
313, 1.582421, 231.0, 0.4933333, -0.0, 0.0, -0.25, 4.666667, 7.120625, 1.763333, 2.866667, 0.0, 0.1733333, 5.366667, 13.63494
314, 1.544789, 231.0, 0.4933333, -0.0, 0.0, -0.25, 4.666667, 5.444434, 1.763333, 2.8, 0.0, 0.1733333, 5.366667, 9.963779
315, 1.509606, 231.0, 0.4933333, -0.0, 0.0, -0.25, 4.666667, 3.684434, 1.763333, 2.8, 0.0, 0.17, 2.3, 6.517503
316, 1.497294, 231.0, 0.4933333, 1.133333, 0.0, -0.25, 4.033333, 1.550476, 1.763333, 2.8, 0.0, 0.17, 2.3, 2.926964
317, 1.5076, 232.5, 0.49, 0.9, 0.0, -0.25, 4.033333, 0.0, 1.763333, 2.633333, 0.0, 0.17, 2.3, 0.0
318, 1.559247, 232.5, 0.49, 0.9, 0.0, -0.25, 4.8, 0.0, 1.763333, 2.633333, 0.0, 0.17, 2.3, 0.0
319, 1.603481, 231.5, 0.49, 0.9, 0.0, -0.25, 4.8, 0.0, 1.763333, 4.0, 0.0, 0.17, 2.3, 0.0
320, 1.653666, 231.5, 0.49, -0.0, 0.0, -0.25, 4.8, 0.0, 1.763333, 4.0, 0.0, 0.17, 0.0, 0.0
321, 1.697292, 231.5, 0.49, -0.0, 0.0, -0.25, -0.0, 0.0, 1.763333, 4.0, 0.0, 0.17, 0.0, 0.0
322, 1.725755, 231.5, 0.49, -0.0, 0.0, -0.25, -0.0, 0.0, 1.763333, 0.0, 0.0, 0.17, 0.0, 0.0
