idx, drive, strafe, turn, fwd, side, left, right, back, X, Y, THETA, Pxx, Pyy
64, 0, 0, -3.916569, 229.53, -483.1055, 191.488, 1068.0, 1136.0, 401.7025, 2349.49, -86.24944, 0.796972, 0.7956561
65, 0, 0, -3.652096, 229.8448, -483.4956, 191.488, 1068.0, 1136.0, 401.5887, 2349.268, -86.49681, 0.806972, 0.8056561
66, 0, 0, -3.419838, 229.8448, -483.4956, 191.488, 1068.0, 1131.5, 401.8089, 2349.365, -86.70839, 0.816972, 0.8156561
67, 0, 0, -3.220892, 230.1552, -483.7306, 191.488, 1068.0, 1131.5, 401.7842, 2349.128, -86.8942, 0.826972, 0.825656
68, 0, 0, -3.220892, 230.1552, -483.7306, 191.488, 1068.0, 1131.5, 401.9502, 2349.2, -87.05336, 0.836972, 0.8356561
69, 0, 0, -2.92078, 230.3103, -483.8857, 191.488, 1068.0, 1130.0, 401.9408, 2349.098, -87.18562, 0.846972, 0.845656
70, 0, 0, -2.811594, 230.3103, -483.8857, 191.488, 1068.0, 1130.0, 402.0535, 2349.146, -87.29344, 0.8569719, 0.8556561
71, 0, 0, -2.722521, 230.3901, -484.1207, 192.3151, 1068.0, 1130.0, 401.9136, 2349.095, -87.38079, 0.866972, 0.865656
72, 0, 0, -2.658272, 230.3901, -484.1207, 192.3151, 1068.0, 1130.0, 401.9882, 2349.127, -87.45205, 0.876972, 0.875656
73, 0, 0, -2.658272, 230.4655, -484.196, 192.3151, 1068.0, 1132.5, 401.9699, 2349.072, -87.50345, 0.886972, 0.885656
74, 0, 0, -2.589245, 230.4655, -484.196, 192.3151, 1068.0, 1132.5, 401.9989, 2349.084, -87.53115, 0.8969719, 0.895656
75, 0, 0, -2.550526, 230.5453, -484.3512, 193.1448, 1068.0, 1132.5, 401.8761, 2349.01, -87.55867, 0.9069719, 0.905656
76, 0, 0, -2.520838, 230.5453, -484.3512, 193.1448, 1068.0, 1136.0, 401.9085, 2349.024, -87.58965, 0.916972, 0.915656
77, 0, 0, -2.491045, 230.5453, -484.6659, 193.1448, 1068.0, 1136.0, 401.6189, 2349.021, -87.6134, 0.9269719, 0.9256559
78, 0, 0, -2.446089, 230.5453, -484.6659, 193.1448, 1068.0, 1136.0, 401.6439, 2349.032, -87.63723, 0.9369719, 0.935656
79, 0, 0, -2.446089, 230.5851, -484.8965, 193.1448, 1068.0, 1136.0, 401.4528, 2348.999, -87.6732, 0.9469719, 0.9456559
80, 0, 0, -2.344999, 230.5851, -484.8965, 193.1448, 1068.0, 1133.0, 401.495, 2349.017, -87.71351, 0.9569719, 0.955656
81, 0, 0, -2.294493, 230.5851, -485.1314, 193.1448, 1068.0, 1133.0, 401.3028, 2349.025, -87.75407, 0.9669719, 0.9656559
82, 0, 0, -2.232046, 230.5851, -485.1314, 193.1448, 1068.0, 1133.0, 401.3452, 2349.043, -87.79448, 0.9769718, 0.9756559
83, 0, 0, -2.152119, 230.5851, -485.3664, 193.1448, 1068.0, 1133.0, 401.1627, 2349.056, -87.84443, 0.9869719, 0.9856559
84, 0, 0, -2.152119, 230.5851, -485.3664, 193.1448, 1068.0, 1132.0, 401.2299, 2349.085, -87.90837, 0.9969719, 0.9956559
85, 0, 0, -1.999807, 230.5851, -485.5215, 192.3151, 1068.0, 1132.0, 401.1433, 2349.108, -87.97356, 1.006972, 1.005656
86, 0, 0, -1.925659, 230.5851, -485.5215, 192.3151, 1068.0, 1132.0, 401.2028, 2349.132, -88.03022, 1.016972, 1.015656
87, 0, 0, -1.839724, 230.5851, -485.7564, 192.3151, 1068.0, 1130.5, 401.0303, 2349.15, -88.08954, 1.026972, 1.025656
88, 0, 0, -1.764135, 230.5851, -485.7564, 192.3151, 1068.0, 1130.5, 401.1026, 2349.18, -88.15829, 1.036972, 1.035656
89, 0, 0, -1.764135, 230.5851, -485.987, 193.1448, 1068.0, 1130.5, 400.9357, 2349.2, -88.21876, 1.046972, 1.045656
90, 0, 0, -1.598406, 230.5851, -485.987, 193.1448, 1068.0, 1130.5, 400.9987, 2349.225, -88.27855, 1.056972, 1.055656
91, 0, 0, -1.516838, 230.5851, -486.1466, 193.1448, 1068.0, 1132.0, 400.9158, 2349.252, -88.35135, 1.066972, 1.065656
92, 0, 0, -1.439972, 230.5851, -486.1466, 193.1448, 1068.0, 1132.0, 400.9845, 2349.28, -88.4166, 1.076972, 1.075656
93, 0, 0, -1.439972, 230.6605, -486.3018, 193.1448, 1068.0, 1132.0, 400.8962, 2349.227, -88.47809, 1.086972, 1.085656
94, 0, 0, -1.298571, 230.6605, -486.3018, 193.1448, 1068.0, 1130.0, 400.9594, 2349.253, -88.53807, 1.096972, 1.095656
95, 0, 0, -1.298571, 230.6605, -486.4968, 193.1448, 1068.0, 1130.0, 400.8204, 2349.271, -88.59121, 1.106972, 1.105656
96, 0, 0, -1.180124, 230.6605, -486.4968, 193.1448, 1068.0, 1130.0, 400.8709, 2349.292, -88.63906, 1.116972, 1.115656
97, 0, 0, -1.130705, 230.6605, -486.5722, 193.1448, 1068.0, 1130.0, 400.8451, 2349.31, -88.68597, 1.126972, 1.125656
