dx, heading, dist, lfm CMD, lfm POS, lfm VEL, lfm TRQ, lbm CMD, lbm POS, lbm VEL, lbm TRQ, rfm CMD, rfm POS, rfm VEL, rfm TRQ, rbm CMD, rbm POS, rbm VEL, rbm TRQ
342, 0.7, 374.0, -9.1, 4.9, -3.2, 2.7, -1.1, 0.3, 5.9, 8.1, 1.1, 0.0, 3.3, 0.0, -6.9, 4.7, -4.0, 0.0
343, 0.7, 374.0, -10.8, 4.9, -3.3, 2.0, -0.8, 0.3, 5.0, 0.9, 1.4, 0.0, 4.4, 0.0, -8.6, 4.7, -4.7, 0.0
344, 0.7, 374.5, -12.2, 4.9, -3.3, 0.0, -0.2, 0.3, 5.0, 0.0, 2.0, 0.0, 4.4, 0.0, -10.0, 4.7, -4.7, 0.0
345, 0.7, 374.5, -13.2, 4.9, -3.3, 0.0, 0.8, 0.3, 5.6, 0.0, 3.1, 0.0, 5.8, 0.0, -10.9, 4.7, -4.7, 0.0
346, 0.7, 374.5, -14.1, 4.9, -2.4, 0.0, 1.9, 0.3, 5.6, 0.0, 4.2, 0.0, 5.8, 0.0, -11.8, 4.7, -12.5, 0.0
347, 0.7, 375.0, -15.3, 4.9, -2.4, 0.0, 2.7, 0.3, 5.6, 0.0, 5.0, 0.0, 5.8, 0.0, -13.0, 4.7, -12.5, 0.0
348, 0.7, 374.5, -16.2, 4.9, -2.4, 0.0, 3.8, 0.3, -0.0, 0.0, 6.1, 0.0, 0.0, 0.0, -13.9, 4.7, -12.5, 0.4
349, 0.7, 374.5, -17.1, 4.9, -0.0, 1.1, 4.9, 0.3, -0.0, 0.0, 7.1, 0.0, 0.0, 0.0, -14.9, 4.7, -30.0, 3.3
350, 0.7, 374.5, -18.1, 4.9, -0.0, 3.6, 5.9, 0.3, -0.0, 0.0, 8.2, 0.0, 0.0, 0.0, -15.8, 4.7, -5.0, 6.2
351, 0.7, 374.0, -19.5, 4.9, -2.4, 6.8, 6.5, 0.3, -0.0, 0.0, 8.8, 0.0, 0.0, 0.0, -17.2, 4.7, -4.6, 10.1
352, 0.8, 374.0, -20.7, 4.9, -2.4, 11.6, 7.3, 0.3, -0.0, 0.0, 9.7, 0.0, 0.0, 0.0, -18.3, 4.7, -4.6, 14.9
353, 0.8, 374.0, -21.8, 4.9, -2.4, 16.8, 8.2, 0.3, -0.0, 0.0, 10.6, 0.0, 0.0, 0.0, -19.4, 4.7, -3.4, 20.3
354, 0.8, 374.0, -23.0, 4.9, -2.7, 22.3, 9.0, 0.3, -0.0, 0.0, 11.5, 0.0, 0.0, 0.0, -20.5, 4.7, -3.0, 24.3
355, 0.8, 374.5, -23.9, 4.9, -5.4, 27.5, 10.1, 0.3, 4.8, 0.0, 12.5, 0.0, 3.9, 0.0, -21.5, 4.7, -3.3, 28.7
356, 0.8, 374.5, -24.6, 4.9, -6.2, 32.8, 11.4, 0.3, 4.8, 0.0, 13.9, 0.0, 3.2, 0.0, -22.1, 4.7, -5.0, 33.6
357, 0.8, 374.5, -25.1, 4.9, -7.3, 37.5, 12.9, 0.3, 2.5, 0.0, 15.2, 0.0, 2.9, 0.0, -22.8, 4.7, -8.7, 37.6
358, 0.7, 375.0, -25.7, 4.9, -8.5, 42.3, 14.3, 0.3, 2.6, 0.0, 16.5, 0.0, 3.6, 0.0, -23.5, 4.6, -8.3, 42.3
359, 0.7, 375.0, -26.3, 4.8, -12.1, 47.5, 15.7, 0.3, 3.1, 0.9, 17.8, 0.1, 7.1, 0.0, -24.2, 4.6, -7.5, 47.8
360, 0.6, 375.0, -26.0, 4.8, -13.5, 51.4, 18.0, 0.3, 7.3, 1.8, 19.9, 0.1, 8.3, 0.0, -24.1, 4.6, -9.4, 51.7
361, 0.6, 373.0, -26.7, 4.8, -16.0, 55.0, 19.3, 0.3, 8.6, 1.8, 21.0, 0.1, 9.8, 0.0, -25.0, 4.6, -11.3, 55.6
362, 0.5, 372.5, -27.3, 4.8, -17.6, 58.2, 20.7, 0.3, 9.2, 1.8, 22.2, 0.1, 10.2, 0.0, -25.8, 4.6, -12.9, 60.2
363, 0.4, 372.5, -26.9, 4.8, -19.6, 60.8, 23.1, 0.3, 8.5, 2.4, 24.4, 0.1, 10.8, 0.0, -25.6, 4.6, -15.5, 65.1
364, 0.4, 372.5, -26.5, 4.8, -20.9, 62.4, 25.5, 0.3, 6.1, 3.8, 26.6, 0.1, 11.3, 0.4, -25.4, 4.6, -17.8, 67.3
365, 0.3, 372.0, -27.6, 4.7, -23.9, 63.3, 26.4, 0.3, 5.6, 5.8, 27.3, 0.1, 10.2, 1.8, -26.7, 4.6, -18.9, 70.2
366, 0.3, 369.5, -26.9, 4.7, -27.4, 63.2, 29.1, 0.4, 5.0, 10.0, 29.9, 0.1, 8.9, 4.2, -26.1, 4.5, -21.9, 71.9
367, 0.2, 369.5, -28.0, 4.7, -29.5, 62.4, 30.0, 0.4, 5.4, 16.0, 30.7, 0.1, 9.7, 7.3, -27.3, 4.5, -25.2, 70.7
