idx, fwd, side, left, right, back, X, Y, THETA, Pxx, Pyy
96, -120.567, 317.7748, 9999.0, 165.0, 227.0, 364.449, 2755.188, 97.78065, 0.3967, 0.6574938
97, -126.681, 335.3926, 9999.0, 165.0, 227.0, 361.8021, 2753.78, 100.2472, 0.3967, 0.6574938
98, -126.681, 335.3926, 9999.0, 165.0, 227.0, 364.1474, 2755.464, 102.6662, 0.4167, 0.6774938
99, -126.681, 335.3926, 9999.0, 165.0, 227.0, 364.1474, 2755.464, 102.6662, 0.4167, 0.6774938
100, -133.6585, 351.186, 9999.0, 165.0, 227.0, 364.4025, 2755.57, 107.4925, 0.4367, 0.6974937
101, -140.2738, 367.23, 9999.0, 165.0, 227.0, 362.4585, 2753.688, 109.8536, 0.4367, 0.6974937
102, -140.2738, 367.23, 9999.0, 165.0, 227.0, 364.4057, 2755.643, 112.1658, 0.4566999, 0.7174937
103, -145.9004, 383.8729, 9999.0, 165.0, 227.0, 362.2768, 2753.775, 114.4843, 0.4666999, 0.7274937
104, -145.9004, 383.8729, 9999.0, 165.0, 227.0, 364.0543, 2755.874, 116.7889, 0.4766999, 0.7374937
105, -152.1397, 399.2902, 9999.0, 165.0, 227.0, 362.4716, 2753.815, 119.0482, 0.4766999, 0.7374937
106, -152.1397, 399.2902, 9999.0, 165.0, 227.0, 364.0314, 2755.978, 121.2823, 0.4966999, 0.7574937
107, -157.6549, 413.858, 9999.0, 165.0, 227.0, 362.6875, 2754.119, 123.5155, 0.5066999, 0.7674937
108, -157.6549, 413.858, 9999.0, 165.0, 227.0, 364.0623, 2756.375, 125.7286, 0.5166999, 0.7774937
109, -162.9193, 428.9132, 9999.0, 165.0, 227.0, 362.673, 2754.346, 127.9257, 0.5166999, 0.7774937
110, -162.9193, 428.9132, 9999.0, 165.0, 227.0, 363.8686, 2756.696, 130.1352, 0.5366999, 0.7974936
111, -167.571, 443.7316, 9999.0, 165.0, 227.0, 362.564, 2754.768, 132.3397, 0.5466999, 0.8074936
112, -167.571, 443.7316, 9999.0, 165.0, 227.0, 363.5713, 2757.192, 134.5396, 0.5566998, 0.8174936
113, -172.9468, 457.3105, 9999.0, 165.0, 227.0, 362.8607, 2755.322, 136.7577, 0.5566998, 0.8174936
114, -172.9468, 457.3105, 9999.0, 165.0, 227.0, 363.6825, 2757.833, 138.9716, 0.5766998, 0.8374936
115, -177.5985, 473.5913, 9999.0, 165.0, 227.0, 362.4075, 2755.366, 141.1827, 0.5866999, 0.8474936
116, -177.5985, 473.5913, 9999.0, 165.0, 227.0, 363.0399, 2757.971, 143.4284, 0.5966998, 0.8574936
117, -181.7627, 488.6466, 9999.0, 165.0, 227.0, 362.0566, 2755.871, 145.6806, 0.5966998, 0.8574936
118, -181.7627, 488.6466, 9999.0, 165.0, 227.0, 362.481, 2758.499, 147.911, 0.6166998, 0.8774936
119, -181.7627, 488.6466, 9999.0, 165.0, 227.0, 362.481, 2758.499, 147.911, 0.6166998, 0.8774936
120, -186.7904, 501.9887, 9999.0, 165.0, 227.0, 362.3876, 2759.39, 152.4461, 0.6366998, 0.8974936
121, -193.7679, 515.8184, 9999.0, 165.0, 227.0, 362.7238, 2757.167, 154.7117, 0.6366998, 0.8974936
122, -193.7679, 515.8184, 9999.0, 165.0, 227.0, 362.7256, 2759.911, 157.011, 0.6566998, 0.9174935
123, -199.5198, 530.6368, 9999.0, 165.0, 227.0, 362.7656, 2757.642, 159.3484, 0.6666998, 0.9274935
124, -199.5198, 530.6368, 9999.0, 165.0, 227.0, 362.5448, 2760.382, 161.6523, 0.6766997, 0.9374935
125, -204.1714, 546.0541, 9999.0, 165.0, 227.0, 362.3838, 2757.987, 163.9543, 0.6766997, 0.9374935
126, -204.1714, 546.0541, 9999.0, 165.0, 227.0, 361.9307, 2760.759, 166.3071, 0.6966997, 0.9574935
127, -208.8231, 561.2347, 9999.0, 165.0, 227.0, 361.9734, 2758.463, 168.6355, 0.7066998, 0.9674934
128, -208.8231, 561.2347, 9999.0, 165.0, 227.0, 361.3203, 2761.11, 170.9191, 0.7166997, 0.9774935
129, -213.5861, 576.1645, 9999.0, 165.0, 227.0, 361.5908, 2758.9, 173.2462, 0.7166997, 0.9774935
130, -213.5861, 576.1645, 9999.0, 1197.0, 227.0, 360.6941, 2305.974, 175.6035, 0.7366997, 0.6655517
131, -218.8506, 592.2085, 9999.0, 1197.0, 227.0, 361.31, 2303.399, 177.8975, 0.7466997, 0.6755517
132, -218.8506, 592.2085, 9999.0, 1197.0, 227.0, 361.31, 2303.399, 177.8975, 0.7466997, 0.6755517
133, -225.2153, 608.9767, 9999.0, 1197.0, 227.0, 361.4001, 2303.237, 182.526, 0.7566997, 0.6855517
134, -225.2153, 608.9767, 9999.0, 1197.0, 227.0, 360.1259, 2305.657, 184.8177, 0.7766996, 0.7055517
135, -231.7053, 624.032, 9999.0, 1197.0, 227.0, 361.5155, 2303.525, 187.0591, 0.7866997, 0.7155517
136, -231.7053, 624.032, 9999.0, 1197.0, 227.0, 360.0785, 2305.803, 189.3157, 0.7966996, 0.7255517
137, -237.5825, 639.5746, 9999.0, 1197.0, 227.0, 361.4483, 2303.636, 191.5997, 0.7966996, 0.7255517
138, -237.5825, 639.5746, 9999.0, 1197.0, 227.0, 359.8367, 2305.792, 193.8548, 0.8166996, 0.7455516
139, -243.5851, 654.8805, 9999.0, 1197.0, 227.0, 361.4151, 2303.788, 196.1021, 0.8266996, 0.7555516
140, -243.5851, 654.8805, 9999.0, 1197.0, 227.0, 359.6149, 2305.835, 198.386, 0.8366996, 0.7655516
141, -250.0751, 670.6738, 9999.0, 1197.0, 227.0, 361.5229, 2303.906, 200.6662, 0.8366996, 0.7655516
142, -250.0751, 670.6738, 9999.0, 1197.0, 227.0, 359.5928, 2305.78, 202.92, 0.8566996, 0.7855516
143, -256.4399, 686.0912, 9999.0, 1197.0, 227.0, 361.5618, 2304.094, 205.1964, 0.8666996, 0.7955516
144, -256.4399, 686.0912, 9999.0, 1197.0, 227.0, 359.4573, 2305.833, 207.4837, 0.8766995, 0.8055516
145, -262.8045, 701.7591, 9999.0, 1197.0, 227.0, 361.5978, 2304.239, 209.7573, 0.8766995, 0.8055516
146, -262.8045, 701.7591, 9999.0, 1197.0, 227.0, 359.365, 2305.803, 212.0414, 0.8966995, 0.8255516
147, -268.6818, 716.0761, 9999.0, 1197.0, 227.0, 361.2136, 2304.669, 214.3518, 0.9066996, 0.8355515
148, -268.6818, 716.0761, 9999.0, 1197.0, 227.0, 358.8665, 2306.048, 216.6324, 0.9166995, 0.8455516
149, -275.0465, 731.7442, 9999.0, 1197.0, 227.0, 361.2363, 2304.812, 218.9029, 0.9166995, 0.8455516
150, -275.0465, 731.7442, 9999.0, 1197.0, 227.0, 361.2363, 2304.812, 218.9029, 0.9366995, 0.8655516
151, -281.5226, 746.312, 9999.0, 1197.0, 227.0, 363.4191, 2303.967, 221.1968, 0.9466995, 0.8755515
152, -281.5226, 746.312, 9999.0, 1197.0, 227.0, 360.9136, 2305.06, 223.487, 0.9566995, 0.8855515
153, -287.8873, 760.267, 9999.0, 1197.0, 227.0, 362.9961, 2304.497, 225.7756, 0.9566995, 0.8855515
154, -287.8873, 760.267, 9999.0, 1197.0, 227.0, 360.3884, 2305.393, 228.0857, 0.9766994, 0.9055515
155, -294.1405, 776.6731, 9999.0, 1197.0, 227.0, 363.0876, 2304.489, 230.3835, 0.9866995, 0.9155515
